old|new
support.privateinternetaccess.com/Knowledgebase/Article/View/109|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219008198-Is-the-PIA-VPN-software-compatible-with-use-of-Malwarebytes-
support.privateinternetaccess.com/Knowledgebase/Article/View/109/23/is-the-pia-vpn-software-compatible-with-use-of-malwarebytes|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219008198-Is-the-PIA-VPN-software-compatible-with-use-of-Malwarebytes-
support.privateinternetaccess.com/Knowledgebase/Article/View/11|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219058008-How-do-I-know-if-I-am-connected-to-and-protected-by-the-VPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/11/23/how-do-i-know-if-i-am-connected-to-and-protected-by-the-vpn|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219058008-How-do-I-know-if-I-am-connected-to-and-protected-by-the-VPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/110|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219660627-I-m-getting-Mac-OSX-Error-1712
support.privateinternetaccess.com/Knowledgebase/Article/View/111|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219460417-How-do-I-repair-disk-permissions-on-OSX-
support.privateinternetaccess.com/Knowledgebase/Article/View/111/6/how-to-repair-disk-permissions-on-mac-osx|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219460417-How-do-I-repair-disk-permissions-on-OSX-
support.privateinternetaccess.com/Knowledgebase/Article/View/112|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219460377-How-to-change-DNS-settings-in-Android-Wifi-only-
support.privateinternetaccess.com/Knowledgebase/Article/View/113|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219334068-What-can-be-done-about-WebRTC-issues-
support.privateinternetaccess.com/Knowledgebase/Article/View/113/23/what-can-be-done-about-webrtc-issues|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219334068-What-can-be-done-about-WebRTC-issues-
support.privateinternetaccess.com/Knowledgebase/Article/View/114|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498837-Flushing-clearing-the-DNS-cache-under-Ubuntu-12-04-11-10
support.privateinternetaccess.com/Knowledgebase/Article/View/114/7/how-to-flush-clear-dns-cache-under-ubuntu-12041110|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498837-Flushing-clearing-the-DNS-cache-under-Ubuntu-12-04-11-10
support.privateinternetaccess.com/Knowledgebase/Article/View/115|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219334368-My-internet-connection-stopped-working-after-using-the-PIA-client
support.privateinternetaccess.com/Knowledgebase/Article/View/116|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219458837-How-can-I-disable-debug-information-in-your-Windows-application-
support.privateinternetaccess.com/Knowledgebase/Article/View/118|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459187-How-do-I-enable-OpenVPN-logging-in-DD-WRT-
support.privateinternetaccess.com/Knowledgebase/Article/View/118/17/how-to-enable-openvpn-logging-in-dd-wrt|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459187-How-do-I-enable-OpenVPN-logging-in-DD-WRT-
support.privateinternetaccess.com/Knowledgebase/Article/View/119|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219014448-Do-you-offer-dedicated-IP-addresses-
support.privateinternetaccess.com/Knowledgebase/Article/View/12|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934247-Am-I-eligible-for-a-refund-after-more-than-7-days-from-the-sign-up-date-
support.privateinternetaccess.com/Knowledgebase/Article/View/120|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219057268-Does-your-VPN-work-anywhere-in-the-world-
support.privateinternetaccess.com/Knowledgebase/Article/View/124|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498687-How-many-devices-can-I-use-simultaneously-while-connected-to-the-VPN-service-
support.privateinternetaccess.com/Knowledgebase/Article/View/127|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219660787-Location-Aware-Browsing
support.privateinternetaccess.com/Knowledgebase/Article/View/127/23/location-aware-browsing|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219660787-Location-Aware-Browsing
support.privateinternetaccess.com/Knowledgebase/Article/View/128|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219660167-Uninstalling-the-Linux-Beta-Client
support.privateinternetaccess.com/Knowledgebase/Article/View/128/7/uninstalling-the-linux-beta-client|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219660167-Uninstalling-the-Linux-Beta-Client
support.privateinternetaccess.com/Knowledgebase/Article/View/13|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219334448-My-DD-WRT-OpenVPN-setup-is-missing-advanced-configuration-options
support.privateinternetaccess.com/Knowledgebase/Article/View/13/17/my-dd-wrt-setup-is-missing-advanced-configuration-options|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219334448-My-DD-WRT-OpenVPN-setup-is-missing-advanced-configuration-options
support.privateinternetaccess.com/Knowledgebase/Article/View/130|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498247-Changing-Ports-on-Linux
support.privateinternetaccess.com/Knowledgebase/Article/View/130/7/changing-ports-on-linux|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498247-Changing-Ports-on-Linux
support.privateinternetaccess.com/Knowledgebase/Article/View/131|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219057358-How-does-the-VPN-work-
support.privateinternetaccess.com/Knowledgebase/Article/View/134|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219058318-Performing-a-clean-reinstallation-of-the-Private-Internet-Access-application-on-Windows-10
support.privateinternetaccess.com/Knowledgebase/Article/View/134/18/how-to-perform-a-clean-reinstallation-of-the-private-internet-access-application-on-windows-10|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219058318-Performing-a-clean-reinstallation-of-the-Private-Internet-Access-application-on-Windows-10
support.privateinternetaccess.com/Knowledgebase/Article/View/136|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219458437-I-m-not-able-to-login
support.privateinternetaccess.com/Knowledgebase/Article/View/137|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332348-Why-am-I-unable-to-receive-emails-from-your-account-system-
support.privateinternetaccess.com/Knowledgebase/Article/View/14|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219058338-I-am-having-TAP-driver-issues-installation-errors-on-Windows
support.privateinternetaccess.com/Knowledgebase/Article/View/14/18/i-have-tap-driver-issuesinstallation-errors|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219058338-I-am-having-TAP-driver-issues-installation-errors-on-Windows
support.privateinternetaccess.com/Knowledgebase/Article/View/140|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219457677-How-does-CISA-affect-PIA-
support.privateinternetaccess.com/Knowledgebase/Article/View/142|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459057-Setting-Up-an-ASUS-Router-Running-Merlin-Firmware
support.privateinternetaccess.com/Knowledgebase/Article/View/142/17/how-do-i-setup-my-asus-router-running-merlin-firmware|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459057-Setting-Up-an-ASUS-Router-Running-Merlin-Firmware
support.privateinternetaccess.com/Knowledgebase/Article/View/143|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219457617-Geo-Locked-Content-Restrictions
support.privateinternetaccess.com/Knowledgebase/Article/View/144|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219460357-How-to-change-DNS-settings-in-iOS-Wifi-only-
support.privateinternetaccess.com/Knowledgebase/Article/View/147|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219657287-How-do-I-request-a-refund-
support.privateinternetaccess.com/Knowledgebase/Article/View/148|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459067-Setting-Up-an-ASUS-Router-Running-Padavan-Firmware
support.privateinternetaccess.com/Knowledgebase/Article/View/149|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219660347-OpenVPN-setup-in-Fedora
support.privateinternetaccess.com/Knowledgebase/Article/View/150|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219334168-OpenVPN-setup-in-Linux-Mint-KDE
support.privateinternetaccess.com/Knowledgebase/Article/View/151|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219058718-Why-am-I-receiving-an-error-telling-me-to-use-my-main-username-in-the-new-Android-release-
support.privateinternetaccess.com/Knowledgebase/Article/View/151/5/i-am-receiving-an-error-telling-me-to-use-my-main-username-in-the-new-android-release|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219058718-Why-am-I-receiving-an-error-telling-me-to-use-my-main-username-in-the-new-Android-release-
support.privateinternetaccess.com/Knowledgebase/Article/View/152|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219016658-How-to-change-DNS-settings-in-Linux-using-Network-Manager-
support.privateinternetaccess.com/Knowledgebase/Article/View/153|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/221045587-How-do-I-find-my-payment-processor-ID-
support.privateinternetaccess.com/Knowledgebase/Article/View/154|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/221329088-Why-can-t-I-sign-up-for-your-service-
support.privateinternetaccess.com/Knowledgebase/Article/View/154/2/why-cant-i-sign-up-for-your-service|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/221329088-Why-can-t-I-sign-up-for-your-service-
support.privateinternetaccess.com/Knowledgebase/Article/View/156|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219438217-Installing-the-PIA-App-on-Linux
support.privateinternetaccess.com/Knowledgebase/Article/View/156/7/how-to-install-our-vpn-application-on-debian-based-linux|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219438217-Installing-the-PIA-App-on-Linux
support.privateinternetaccess.com/Knowledgebase/Article/View/18|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219457547-Do-you-log-the-traffic-of-your-users-
support.privateinternetaccess.com/Knowledgebase/Article/View/19|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219331948-Where-are-your-servers-located-
support.privateinternetaccess.com/Knowledgebase/Article/View/2|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219057398-Can-I-switch-between-countries-and-gateways-
support.privateinternetaccess.com/Knowledgebase/Article/View/26|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934707-Why-do-I-receive-an-Ocra-Error-When-Trying-To-Install-Run-Your-Application-
support.privateinternetaccess.com/Knowledgebase/Article/View/26/18/receive-ocra-error-when-trying-to-installrun-your-application|https://londontrustmedia.zendesk.com/hc/en-us/articles/220934707-Why-do-I-receive-an-Ocra-Error-When-Trying-To-Install-Run-Your-Application-
support.privateinternetaccess.com/Knowledgebase/Article/View/28|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219330188-Can-I-change-my-Private-Internet-Access-user-name-or-account-login-
support.privateinternetaccess.com/Knowledgebase/Article/View/29|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218992878-Setting-Up-OpenVPN-on-pfSense
support.privateinternetaccess.com/Knowledgebase/Article/View/29/17/pfsense-20|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218992878-Setting-Up-OpenVPN-on-pfSense
support.privateinternetaccess.com/Knowledgebase/Article/View/30|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219438247-Installing-OpenVPN-PIA-on-Linux
support.privateinternetaccess.com/Knowledgebase/Article/View/30/7/linux-command-line-openvpn-installation|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219438247-Installing-OpenVPN-PIA-on-Linux
support.privateinternetaccess.com/Knowledgebase/Article/View/32|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498647-How-do-I-uninstall-reinstall-the-PIA-app-on-Windows-
support.privateinternetaccess.com/Knowledgebase/Article/View/32/18/how-do-i-uninstall-and-reinstall-your-application-on-windows|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498647-How-do-I-uninstall-reinstall-the-PIA-app-on-Windows-
support.privateinternetaccess.com/Knowledgebase/Article/View/33|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219457007-Why-can-t-I-send-email-when-on-the-VPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/35|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219656627-Can-I-change-my-payment-method-to-a-different-one-
support.privateinternetaccess.com/Knowledgebase/Article/View/35/2/can-i-change-my-payment-method-to-a-different-one|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219656627-Can-I-change-my-payment-method-to-a-different-one-
support.privateinternetaccess.com/Knowledgebase/Article/View/36|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219458977-Can-I-configure-the-VPN-on-my-smart-TV-or-video-game-console-
support.privateinternetaccess.com/Knowledgebase/Article/View/36/17/can-i-configure-the-vpn-on-my-smart-tv-or-video-game-console|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219458977-Can-I-configure-the-VPN-on-my-smart-TV-or-video-game-console-
support.privateinternetaccess.com/Knowledgebase/Article/View/37|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219330868-How-do-I-locate-the-Amazon-Transaction-ID-for-my-subscription-
support.privateinternetaccess.com/Knowledgebase/Article/View/38|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219330308-How-can-I-change-the-email-address-on-my-account-
support.privateinternetaccess.com/Knowledgebase/Article/View/40|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219331368-Will-my-subscription-renew-automatically-
support.privateinternetaccess.com/Knowledgebase/Article/View/42|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934367-Why-is-the-icon-for-my-VPN-software-not-red-or-green-
support.privateinternetaccess.com/Knowledgebase/Article/View/42/6/why-is-the-icon-for-my-vpn-software-not-red-or-green|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934367-Why-is-the-icon-for-my-VPN-software-not-red-or-green-
support.privateinternetaccess.com/Knowledgebase/Article/View/43|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219334388-My-FTP-client-will-not-connect-when-using-the-VPN
support.privateinternetaccess.com/Knowledgebase/Article/View/43/23/my-ftp-client-will-not-connect-when-using-the-vpn|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219334388-My-FTP-client-will-not-connect-when-using-the-VPN
support.privateinternetaccess.com/Knowledgebase/Article/View/44|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218985608-Installing-OpenVPN-PIA-on-iOS
support.privateinternetaccess.com/Knowledgebase/Article/View/44/16/is-it-possible-to-use-openvpn-on-my-iphone-or-ipad|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218985608-Installing-OpenVPN-PIA-on-iOS
support.privateinternetaccess.com/Knowledgebase/Article/View/45|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219656587-Are-there-any-restrictions-on-what-characters-can-be-used-in-my-password-
support.privateinternetaccess.com/Knowledgebase/Article/View/46|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219016668-I-can-t-access-the-internet-when-I-disconnect-from-the-VPN-I-m-not-using-the-killswitch-Windows-
support.privateinternetaccess.com/Knowledgebase/Article/View/46/18/i-cant-access-the-internet-when-i-disconnect-from-the-vpn-i-am-not-using-the-killswitchwindows|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219016668-I-can-t-access-the-internet-when-I-disconnect-from-the-VPN-I-m-not-using-the-killswitch-Windows-
support.privateinternetaccess.com/Knowledgebase/Article/View/47|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219457477-Can-I-keep-the-VPN-always-connected-on-my-iPhone-iPad-
support.privateinternetaccess.com/Knowledgebase/Article/View/47/16/can-the-vpn-always-be-connected|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219457477-Can-I-keep-the-VPN-always-connected-on-my-iPhone-iPad-
support.privateinternetaccess.com/Knowledgebase/Article/View/48|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219437987-Installing-OpenVPN-PIA-on-Mac-OSX
support.privateinternetaccess.com/Knowledgebase/Article/View/48/6/i-am-having-issues-with-the-vpn-software-on-osx-106---107x|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219437987-Installing-OpenVPN-PIA-on-Mac-OSX
support.privateinternetaccess.com/Knowledgebase/Article/View/5|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219657047-How-do-I-cancel-my-subscription-
support.privateinternetaccess.com/Knowledgebase/Article/View/51|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219437987-Installing-OpenVPN-PIA-on-Mac-OSX
support.privateinternetaccess.com/Knowledgebase/Article/View/51/6/can-i-use-openvpn-on-macos-without-your-vpn-software|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219437987-Installing-OpenVPN-PIA-on-Mac-OSX
support.privateinternetaccess.com/Knowledgebase/Article/View/52|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498367-How-can-I-uninstall-reinstall-your-application-on-OSX-
support.privateinternetaccess.com/Knowledgebase/Article/View/52/6/how-can-i-uninstallreinstall-your-application-on-macos|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498367-How-can-I-uninstall-reinstall-your-application-on-OSX-
support.privateinternetaccess.com/Knowledgebase/Article/View/53|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219460187-How-do-I-enable-port-forwarding-on-my-VPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/53/23/how-to-enable-port-forwarding-in-the-vpn-client|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219460187-How-do-I-enable-port-forwarding-on-my-VPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/54|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219458787-How-can-I-make-OpenVPN-remember-my-username-and-password-
support.privateinternetaccess.com/Knowledgebase/Article/View/54/18/how-can-i-make-openvpn-remember-my-username-and-password|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219458787-How-can-I-make-OpenVPN-remember-my-username-and-password-
support.privateinternetaccess.com/Knowledgebase/Article/View/54/6/how-can-i-make-openvpn-remember-my-username-and-password|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219458787-How-can-I-make-OpenVPN-remember-my-username-and-password-
support.privateinternetaccess.com/Knowledgebase/Article/View/55|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-
support.privateinternetaccess.com/Knowledgebase/Article/View/55/16/what-operating-systems-are-supported|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-
support.privateinternetaccess.com/Knowledgebase/Article/View/55/17/what-operating-systems-are-supported|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-
support.privateinternetaccess.com/Knowledgebase/Article/View/55/18/what-operating-systems-are-supported|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-
support.privateinternetaccess.com/Knowledgebase/Article/View/55/23/what-operating-systems-are-supported|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-
support.privateinternetaccess.com/Knowledgebase/Article/View/55/5/what-operating-systems-are-supported|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-
support.privateinternetaccess.com/Knowledgebase/Article/View/55/6/what-operating-systems-are-supported|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-
support.privateinternetaccess.com/Knowledgebase/Article/View/55/7/what-operating-systems-are-supported|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-
support.privateinternetaccess.com/Knowledgebase/Article/View/57|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218984968-What-is-the-difference-between-the-OpenVPN-config-files-on-your-website-
support.privateinternetaccess.com/Knowledgebase/Article/View/57|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218984968-What-is-the-difference-between-the-OpenVPN-config-files-on-your-website-
support.privateinternetaccess.com/Knowledgebase/Article/View/57/23/what-is-the-difference-between-the-openvpn-config-files-on-your-website|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218984968-What-is-the-difference-between-the-OpenVPN-config-files-on-your-website-
support.privateinternetaccess.com/Knowledgebase/Article/View/58|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459227-I-am-receiving-the-error-Warning-route-gateway-is-not-reachable-on-any-active-network-adapters-X-X-X-X-in-my-debug-log
support.privateinternetaccess.com/Knowledgebase/Article/View/58/18/i-am-receiving-the-error-warning-route-gateway-is-not-reachable-on-any-active-network-adapters-xxxx-in-my-debug-log|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459227-I-am-receiving-the-error-Warning-route-gateway-is-not-reachable-on-any-active-network-adapters-X-X-X-X-in-my-debug-log
support.privateinternetaccess.com/Knowledgebase/Article/View/59|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459287-I-am-seeing-the-error-Create-IP-forward-entry-error-in-my-debug-log
support.privateinternetaccess.com/Knowledgebase/Article/View/59/18/i-am-seeing-the-error-create-ip-forward-entry-error-in-my-debug-log|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459287-I-am-seeing-the-error-Create-IP-forward-entry-error-in-my-debug-log
support.privateinternetaccess.com/Knowledgebase/Article/View/6|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219657127-How-do-I-recover-my-lost-password-
support.privateinternetaccess.com/Knowledgebase/Article/View/61|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219658067-What-version-of-OpenSSL-is-used-by-Private-Internet-Access-
support.privateinternetaccess.com/Knowledgebase/Article/View/61/23/what-version-of-openssl-is-used-by-private-internet-access|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219658067-What-version-of-OpenSSL-is-used-by-Private-Internet-Access-
support.privateinternetaccess.com/Knowledgebase/Article/View/62|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219057428-Can-I-use-OpenVPN-2-3-x-with-Private-Internet-Access-
support.privateinternetaccess.com/Knowledgebase/Article/View/62/23/can|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219057428-Can-I-use-OpenVPN-2-3-x-with-Private-Internet-Access-
support.privateinternetaccess.com/Knowledgebase/Article/View/62/23/can-i-use-openvpn-23x-with-private-internet-access|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219057428-Can-I-use-OpenVPN-2-3-x-with-Private-Internet-Access-
support.privateinternetaccess.com/Knowledgebase/Article/View/63|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219057208-Am-I-able-to-use-my-password-management-software-such-as-LastPass-with-the-VPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/63/23/am-i-able-to-use-my-password-management-software-such-as-lastpass-with-the-vpn|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219057208-Am-I-able-to-use-my-password-management-software-such-as-LastPass-with-the-VPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/64|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219457907-How-can-I-reduce-my-latency-in-online-games-when-using-the-VPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/64/23/how-can-i-reduce-my-latency-in-online-games-when-using-the-vpn|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219457907-How-can-I-reduce-my-latency-in-online-games-when-using-the-VPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/65|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219658467-Why-am-I-having-issues-downloading-your-VPN-on-Windows-using-Internet-Explorer-Edge-
support.privateinternetaccess.com/Knowledgebase/Article/View/65/18/why-am-i-having-issues-downloading-your-vpn-on-windows-using-internet-exploreredge|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219658467-Why-am-I-having-issues-downloading-your-VPN-on-Windows-using-Internet-Explorer-Edge-
support.privateinternetaccess.com/Knowledgebase/Article/View/66|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219333928-What-is-an-MTR-test-and-how-do-I-run-it-
support.privateinternetaccess.com/Knowledgebase/Article/View/66/18/what-is-an-mtr-test-and-how-do-i-run-it|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219333928-What-is-an-MTR-test-and-how-do-I-run-it-
support.privateinternetaccess.com/Knowledgebase/Article/View/66/6/what-is-an-mtr-test-and-how-do-i-run-it|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219333928-What-is-an-MTR-test-and-how-do-I-run-it-
support.privateinternetaccess.com/Knowledgebase/Article/View/67|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219499447-I-am-unable-to-connect-to-the-VPN-after-updating-to-OSX-10-10-Yosemite-
support.privateinternetaccess.com/Knowledgebase/Article/View/67/6/i-am-unable-to-connect-to-the-vpn-after-updating-to-osx-1010-yosemite|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219499447-I-am-unable-to-connect-to-the-VPN-after-updating-to-OSX-10-10-Yosemite-
support.privateinternetaccess.com/Knowledgebase/Article/View/68|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219438937-Instaling-OpenVPN-PIA-on-Android
support.privateinternetaccess.com/Knowledgebase/Article/View/68/5/how-do-i-set-up-openvpn-on-an-android-device|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219438937-Instaling-OpenVPN-PIA-on-Android
support.privateinternetaccess.com/Knowledgebase/Article/View/70|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219438937-Instaling-OpenVPN-PIA-on-Android
